set,index,points,current,huffman9,default6,default1,all27,padding,best,payloadBytes,mode,escapes,noCRC_UNSAFE,noHeader_NEW_VERSION,noFrame_UNSAFE,byteWinner,deltaSemanticBytes
prefix3,184,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,184,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,184,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,185,28,66,66,66,66,66,66,current,51,0,0,64,65,62,66,88
prefix1,185,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,185,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,185,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,185,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,185,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,186,204,505,505,505,505,505,505,current,408,0,0,502,504,502,505,618
prefix1,186,1,16,16,16,16,16,16,current,10,0,0,13,15,12,16,8
prefix2,186,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,186,3,24,24,24,24,24,24,current,17,0,0,22,23,21,24,14
prefix5,186,5,29,29,29,29,29,29,current,21,0,0,27,28,26,29,20
prefix10,186,10,40,40,40,40,40,40,current,30,0,0,38,39,36,40,35
full,187,32,72,72,72,72,72,72,current,56,0,0,70,71,68,72,100
prefix1,187,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,187,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,187,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,187,5,26,26,26,26,26,26,current,18,0,1,23,24,22,26,19
prefix10,187,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,188,27,85,85,85,85,85,85,current,67,0,0,83,85,82,85,85
prefix1,188,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,188,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,188,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,188,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
prefix10,188,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,34
full,189,31,74,74,74,74,74,74,current,57,0,0,71,72,70,74,97
prefix1,189,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,189,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,189,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,189,5,25,25,25,25,25,25,current,18,0,0,23,24,22,25,19
prefix10,189,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,190,144,349,349,349,349,349,349,current,281,0,0,347,348,346,349,438
prefix1,190,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,190,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,190,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,190,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,20
prefix10,190,10,38,38,38,38,38,38,current,28,0,0,35,37,34,38,35
full,191,38,90,90,90,90,90,90,current,70,0,0,87,88,86,90,118
prefix1,191,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,191,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,191,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,191,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,191,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,192,43,92,92,92,92,92,92,current,72,0,0,89,91,88,92,133
prefix1,192,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,192,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,192,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,192,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,192,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,193,150,334,334,334,334,334,334,current,269,0,0,332,333,330,334,456
prefix1,193,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,193,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,193,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,193,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,20
prefix10,193,10,38,38,38,38,38,38,current,28,0,0,35,37,34,38,35
full,194,21,63,63,63,63,63,63,current,49,0,0,61,62,60,63,67
prefix1,194,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,194,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,194,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,194,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,194,10,32,32,32,32,32,32,current,23,0,0,29,30,28,32,34
full,195,34,76,76,76,76,76,76,current,59,0,0,74,75,72,76,106
prefix1,195,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,195,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,195,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,195,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,195,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,196,27,67,67,67,67,67,67,current,52,0,0,65,66,64,67,85
prefix1,196,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,196,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,196,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,196,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,196,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,197,30,75,75,75,75,75,75,current,58,0,0,72,73,71,75,94
prefix1,197,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,197,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,197,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,197,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,197,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,198,28,69,69,69,69,69,69,current,53,0,0,66,67,65,69,88
prefix1,198,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,198,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,198,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,198,5,26,26,26,26,26,26,current,18,0,1,23,24,22,26,19
prefix10,198,10,35,35,35,35,35,35,current,26,0,0,33,34,31,35,34
full,199,27,67,67,67,67,67,67,current,52,0,0,65,66,64,67,85
prefix1,199,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,199,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,199,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,199,5,23,23,23,23,23,23,current,16,0,0,21,22,19,23,19
prefix10,199,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,200,27,70,70,70,70,70,70,current,54,0,0,67,69,66,70,85
prefix1,200,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,200,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,200,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,200,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,200,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,201,26,66,66,66,66,66,66,current,51,0,0,64,65,62,66,82
prefix1,201,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,201,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,201,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,201,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,201,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,202,27,65,65,65,65,65,65,current,50,0,0,62,64,61,65,85
prefix1,202,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,202,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,202,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,202,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,202,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,203,158,344,344,344,344,344,344,current,277,0,0,342,343,341,344,480
prefix1,203,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,203,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,11
prefix3,203,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,203,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,20
prefix10,203,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,35
full,204,27,77,77,77,77,77,77,current,60,0,0,75,76,74,77,85
prefix1,204,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,204,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,204,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,204,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,204,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,205,27,73,73,73,73,73,73,current,57,0,0,71,72,70,73,85
prefix1,205,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,205,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,205,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,205,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,205,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,206,25,61,61,61,61,61,61,current,47,0,0,59,60,57,61,79
prefix1,206,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,206,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,206,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,206,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,206,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,207,23,67,67,67,67,67,67,current,52,0,0,65,66,64,67,73
prefix1,207,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,207,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,207,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,207,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,207,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,34
full,208,26,70,70,70,70,70,70,current,54,0,0,67,68,66,70,83
prefix1,208,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,208,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,208,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,208,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,20
prefix10,208,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,35
full,209,156,345,345,345,345,345,345,current,277,0,1,343,343,340,345,475
prefix1,209,1,16,16,16,16,16,16,current,10,0,0,13,15,12,16,8
prefix2,209,2,20,20,20,20,20,20,current,14,0,0,18,19,17,20,11
prefix3,209,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,209,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,20
prefix10,209,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,35
full,210,29,67,67,67,67,67,67,current,52,0,0,65,66,63,67,91
prefix1,210,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,210,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,210,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,210,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,210,10,33,33,33,33,33,33,current,24,0,0,31,32,29,33,34
full,211,38,109,109,109,109,109,109,current,86,0,0,107,108,105,109,119
prefix1,211,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,211,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,211,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,211,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,20
prefix10,211,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,35
full,212,28,67,67,67,67,67,67,current,52,0,0,65,66,63,67,88
prefix1,212,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,212,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,212,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,212,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,212,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,213,26,74,74,74,74,74,74,current,57,0,0,71,72,69,74,82
prefix1,213,1,14,14,14,14,14,14,current,9,0,0,12,14,11,14,7
prefix2,213,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,213,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,213,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,213,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,214,32,89,89,89,89,89,89,current,70,0,0,87,88,86,89,100
prefix1,214,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,214,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,214,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,214,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,214,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,34
full,215,23,67,67,67,67,67,67,current,52,0,0,65,66,64,67,73
prefix1,215,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,215,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,215,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,215,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,215,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,34
full,216,30,104,104,104,104,104,104,current,82,0,0,102,103,100,104,94
prefix1,216,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,216,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,216,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,216,5,29,29,29,29,29,29,current,21,0,0,27,28,25,29,19
prefix10,216,10,45,45,45,45,45,45,current,34,0,0,43,44,42,45,34
full,217,33,94,94,94,94,94,94,current,74,0,0,92,93,91,94,103
prefix1,217,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,217,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,217,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,217,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,217,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,34
full,218,24,65,65,65,65,65,65,current,50,0,0,62,63,61,65,76
prefix1,218,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,218,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,218,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,218,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,218,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,219,139,386,386,386,386,386,386,current,311,0,0,383,385,383,386,423
prefix1,219,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,219,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,219,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,219,5,28,28,28,28,28,28,current,20,0,0,25,27,24,28,20
prefix10,219,10,39,39,39,39,39,39,current,29,0,0,36,38,35,39,35
full,220,144,474,474,474,474,474,474,current,382,0,1,471,472,470,474,455
prefix1,220,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,220,2,22,22,22,22,22,22,current,15,0,0,19,20,18,22,12
prefix3,220,3,24,24,24,24,24,24,current,17,0,0,22,23,20,24,16
prefix5,220,5,30,30,30,30,30,30,current,22,0,0,28,29,26,30,22
prefix10,220,10,48,48,48,48,48,48,current,36,0,0,45,46,44,48,38
full,221,172,448,448,448,448,448,448,current,361,0,1,446,446,444,448,522
prefix1,221,1,16,16,16,16,16,16,current,10,0,0,13,15,12,16,8
prefix2,221,2,20,20,20,20,20,20,current,14,0,0,18,19,17,20,11
prefix3,221,3,23,23,23,23,23,23,current,16,0,0,20,22,19,23,14
prefix5,221,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,221,10,39,39,39,39,39,39,current,29,0,0,36,38,35,39,35
full,222,153,405,405,405,405,405,405,current,326,0,0,402,404,402,405,465
prefix1,222,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,222,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,222,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,222,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,20
prefix10,222,10,41,41,41,41,41,41,current,31,0,0,39,40,38,41,35
full,223,153,414,414,414,414,414,414,current,334,0,0,412,413,411,414,464
prefix1,223,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,223,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,223,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,223,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,223,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,224,132,358,358,358,358,358,358,current,288,0,0,355,356,353,358,401
prefix1,224,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,224,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,224,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,224,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,224,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,34
full,225,196,406,406,406,406,406,406,current,327,0,0,403,405,402,406,593
prefix1,225,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,225,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,225,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,225,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,225,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,226,79,214,214,214,214,214,214,current,171,0,0,211,212,210,214,242
prefix1,226,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,226,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,11
prefix3,226,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,226,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,226,10,38,38,38,38,38,38,current,28,0,0,35,36,34,38,35
full,227,52,142,142,142,142,142,142,current,113,0,0,140,141,139,142,160
prefix1,227,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,227,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,227,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,227,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,227,10,38,38,38,38,38,38,current,28,0,0,35,36,34,38,34
full,228,59,162,162,162,162,162,162,current,129,0,0,160,161,158,162,182
prefix1,228,1,16,16,16,16,16,16,current,10,0,0,13,15,12,16,8
prefix2,228,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,228,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,228,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,20
prefix10,228,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,35
full,229,140,385,385,385,385,385,385,current,310,0,0,382,384,382,385,426
prefix1,229,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,229,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,229,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,229,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,229,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,35
full,230,122,317,317,317,317,317,317,current,255,0,0,314,316,314,317,371
prefix1,230,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,230,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,230,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,230,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,20
prefix10,230,10,36,36,36,36,36,36,current,27,0,0,34,35,33,36,35
full,231,135,353,353,353,353,353,353,current,284,0,0,350,352,349,353,411
prefix1,231,1,16,16,16,16,16,16,current,10,0,0,13,15,12,16,8
prefix2,231,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,231,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,231,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,20
prefix10,231,10,36,36,36,36,36,36,current,27,0,0,34,35,33,36,35
full,232,149,397,397,397,397,397,397,current,320,0,0,394,397,394,397,453
prefix1,232,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,232,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,232,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,232,5,28,28,28,28,28,28,current,20,0,0,25,27,24,28,20
prefix10,232,10,40,40,40,40,40,40,current,30,0,0,38,39,36,40,35
full,233,138,368,368,368,368,368,368,current,296,0,0,365,367,365,368,420
prefix1,233,1,16,16,16,16,16,16,current,10,0,0,13,15,12,16,8
prefix2,233,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,233,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,233,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,20
prefix10,233,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,35
full,234,168,456,456,456,456,456,456,current,368,0,0,454,455,452,456,509
prefix1,234,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,234,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,234,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,234,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
prefix10,234,10,38,38,38,38,38,38,current,28,0,0,35,37,34,38,34
full,235,69,189,189,189,189,189,189,current,151,0,0,187,188,186,189,212
prefix1,235,1,16,16,16,16,16,16,current,10,0,0,13,15,12,16,8
prefix2,235,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,235,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,235,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,20
prefix10,235,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,35
full,236,168,616,616,616,616,616,616,current,499,0,0,614,617,615,616,621
prefix1,236,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,236,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,12
prefix3,236,3,25,25,25,25,25,25,current,18,0,0,23,24,22,25,16
prefix5,236,5,32,32,32,32,32,32,current,23,0,0,29,30,28,32,22
prefix10,236,10,49,49,49,49,49,49,current,37,0,0,46,47,45,49,40
full,237,13,46,46,46,46,46,46,current,35,0,0,44,45,42,46,44
prefix1,237,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,237,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,237,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,237,5,28,28,28,28,28,28,current,20,0,0,26,26,24,28,20
prefix10,237,10,40,40,40,40,40,40,current,30,0,0,38,39,36,40,35
full,238,11,49,49,49,49,49,49,current,37,0,0,46,48,45,49,41
prefix1,238,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,238,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,238,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,238,5,30,30,30,30,30,30,current,22,0,0,28,29,27,30,21
prefix10,238,10,46,46,46,46,46,46,current,35,0,0,44,45,43,46,37
full,239,103,268,268,268,268,268,268,current,215,0,0,265,266,263,268,314
prefix1,239,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,239,2,20,20,20,20,20,20,current,14,0,0,18,19,17,20,11
prefix3,239,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,239,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,239,10,36,36,36,36,36,36,current,27,0,0,34,35,33,36,35
full,240,51,142,142,142,142,142,142,current,113,0,0,140,141,139,142,157
prefix1,240,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,240,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,240,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,240,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
prefix10,240,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,241,137,355,355,355,355,355,355,current,286,0,0,353,354,351,355,417
prefix1,241,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,241,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,241,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,241,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,241,10,39,39,39,39,39,39,current,29,0,0,37,37,35,39,35
full,242,100,231,231,231,231,231,231,current,185,0,0,229,230,227,231,304
prefix1,242,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,242,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,242,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,242,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,242,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,243,67,180,180,180,180,180,180,current,144,0,0,178,179,177,180,208
prefix1,243,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,243,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,243,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,243,5,25,25,25,25,25,25,current,18,0,0,23,24,22,25,20
prefix10,243,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,36
full,244,27,76,76,76,76,76,76,current,59,0,0,74,75,72,76,85
prefix1,244,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,244,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,244,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
