set,index,points,current,huffman9,default6,default1,all27,padding,best,payloadBytes,mode,escapes,noCRC_UNSAFE,noHeader_NEW_VERSION,noFrame_UNSAFE,byteWinner,deltaSemanticBytes
prefix2,29,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,29,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,29,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,19
prefix10,29,10,44,44,44,44,44,44,current,33,0,0,42,43,40,44,34
full,30,49,132,132,132,132,132,132,current,105,0,0,130,131,128,132,151
prefix1,30,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,30,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,30,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,30,5,28,28,28,28,28,28,current,20,0,0,25,27,24,28,19
prefix10,30,10,38,38,38,38,38,38,current,28,0,0,35,36,34,38,34
full,31,53,144,144,144,144,144,144,current,114,0,0,141,142,140,144,163
prefix1,31,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,31,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,31,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,31,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
prefix10,31,10,38,38,38,38,38,38,current,28,0,0,35,36,34,38,34
full,32,53,144,144,144,144,144,144,current,114,0,0,141,142,140,144,163
prefix1,32,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,32,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,32,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,32,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
prefix10,32,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,33,29,68,68,68,68,68,68,current,53,0,0,66,67,65,68,91
prefix1,33,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,33,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,33,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,33,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,33,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,34,19,56,56,56,56,56,56,current,43,0,0,54,55,53,56,61
prefix1,34,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,34,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,34,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,34,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,34,10,38,38,38,38,38,38,current,28,0,0,35,37,34,38,34
full,35,19,56,56,56,56,56,56,current,43,0,0,54,55,53,56,61
prefix1,35,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,35,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,35,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,35,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,35,10,38,38,38,38,38,38,current,28,0,0,35,37,34,38,34
full,36,19,64,64,64,64,64,64,current,49,0,0,61,62,60,64,61
prefix1,36,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,36,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,36,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,36,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
prefix10,36,10,40,40,40,40,40,40,current,30,0,0,38,40,38,40,34
full,37,22,70,70,70,70,70,70,current,54,0,0,67,69,66,70,70
prefix1,37,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,37,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,37,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,37,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
prefix10,37,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,34
full,38,15,53,53,53,53,53,53,current,40,0,0,50,51,49,53,49
prefix1,38,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,38,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,38,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,38,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,19
prefix10,38,10,40,40,40,40,40,40,current,30,0,0,38,39,36,40,34
full,39,17,59,59,59,59,59,59,current,45,0,0,56,57,55,59,55
prefix1,39,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,39,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,39,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,39,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,19
prefix10,39,10,40,40,40,40,40,40,current,30,0,0,38,39,36,40,34
full,40,26,86,86,86,86,86,86,current,67,0,0,83,85,82,86,82
prefix1,40,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,40,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,40,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,40,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,40,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,34
full,41,10,33,33,33,33,33,33,current,24,0,0,31,31,29,33,34
prefix1,41,1,15,15,15,15,15,15,current,9,0,0,12,13,10,15,7
prefix2,41,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,41,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,41,5,25,25,25,25,25,25,current,18,0,0,23,24,21,25,19
prefix10,41,10,33,33,33,33,33,33,current,24,0,0,31,31,29,33,34
full,42,8,28,28,28,28,28,28,current,20,0,0,25,27,24,28,28
prefix1,42,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,42,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,42,3,19,19,19,19,19,19,current,13,0,0,17,18,16,19,13
prefix5,42,5,23,23,23,23,23,23,current,16,0,0,20,22,19,23,19
full,43,6,25,25,25,25,25,25,current,18,0,0,23,24,22,25,22
prefix1,43,1,14,14,14,14,14,14,current,9,0,0,12,13,10,14,7
prefix2,43,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,43,3,20,20,20,20,20,20,current,14,0,0,18,19,17,20,13
prefix5,43,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
full,44,29,48,48,48,48,48,48,current,36,0,0,45,46,44,48,93
prefix1,44,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,44,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,44,3,19,19,19,19,19,19,current,13,0,0,17,18,16,19,13
prefix5,44,5,22,22,22,22,22,22,current,15,0,0,19,21,18,22,19
prefix10,44,10,26,26,26,26,26,26,current,18,0,0,23,24,22,26,34
full,45,83,88,88,88,88,88,88,current,69,0,0,85,86,84,88,253
prefix1,45,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,45,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,45,3,19,19,19,19,19,19,current,13,0,0,17,18,16,19,13
prefix5,45,5,21,21,21,21,21,21,current,14,0,0,18,19,17,21,19
prefix10,45,10,23,23,23,23,23,23,current,16,0,0,21,22,19,23,34
full,46,163,131,131,131,131,131,131,current,104,0,0,128,129,127,131,494
prefix1,46,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,46,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,46,3,19,19,19,19,19,19,current,13,0,0,17,18,16,19,13
prefix5,46,5,21,21,21,21,21,21,current,14,0,0,18,19,17,21,19
prefix10,46,10,23,23,23,23,23,23,current,16,0,0,21,22,19,23,34
full,47,31,121,121,121,121,121,121,current,96,0,0,119,120,117,121,121
prefix1,47,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,47,2,22,22,22,22,22,22,current,15,0,0,19,20,18,22,12
prefix3,47,3,26,26,26,26,26,26,current,18,0,0,23,24,22,26,16
prefix5,47,5,32,32,32,32,32,32,current,23,0,0,29,30,28,32,24
prefix10,47,10,50,50,50,50,50,50,current,38,0,0,48,49,46,50,45
full,48,21,82,82,82,82,82,82,current,64,0,0,79,81,78,82,83
prefix1,48,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,48,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,11
prefix3,48,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,48,5,29,29,29,29,29,29,current,21,0,0,27,28,26,29,21
prefix10,48,10,47,47,47,47,47,47,current,35,0,0,44,45,43,47,40
full,49,16,57,57,57,57,57,57,current,44,0,0,55,56,54,57,53
prefix1,49,1,16,16,16,16,16,16,current,10,0,0,13,15,12,16,8
prefix2,49,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,11
prefix3,49,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,49,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,20
prefix10,49,10,42,42,42,42,42,42,current,31,0,0,39,40,38,42,35
full,50,212,525,525,525,525,525,525,current,425,0,0,523,525,522,525,642
prefix1,50,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,50,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,50,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,50,5,28,28,28,28,28,28,current,20,0,0,26,26,24,28,20
prefix10,50,10,40,40,40,40,40,40,current,30,0,0,38,39,36,40,35
full,51,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix1,51,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,51,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,11
prefix3,51,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,51,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
full,52,21,67,67,67,67,67,67,current,52,0,0,65,66,64,67,67
prefix1,52,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,52,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,52,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,52,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
prefix10,52,10,39,39,39,39,39,39,current,29,0,0,36,38,35,39,34
full,53,30,75,75,75,75,75,75,current,58,0,0,72,74,71,75,95
prefix1,53,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,53,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,11
prefix3,53,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,53,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,20
prefix10,53,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,35
full,54,24,60,60,60,60,60,60,current,46,0,0,57,59,56,60,76
prefix1,54,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,54,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,54,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,54,5,25,25,25,25,25,25,current,18,0,0,23,24,22,25,19
prefix10,54,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,55,26,76,76,76,76,76,76,current,59,0,0,73,75,72,76,87
prefix1,55,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,55,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,55,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,55,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
prefix10,55,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,37
full,56,30,87,87,87,87,87,87,current,68,0,0,85,85,83,87,94
prefix1,56,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,56,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,56,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,56,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
prefix10,56,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,57,4,23,23,23,23,23,23,current,16,0,0,21,22,19,23,16
prefix1,57,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,57,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,57,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
full,58,1728,3721,3721,3721,3721,3721,3721,current,3030,0,0,3718,3721,3718,3721,5205
prefix1,58,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,58,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,58,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,58,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,58,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,59,39,116,116,116,116,116,116,current,92,0,0,114,115,113,116,123
prefix1,59,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,59,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,59,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,59,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
