set,index,points,current,tiny11_DIRECT_NEW_WIRE,currentPlusTiny11_NEW_WIRE
prefix3,77,3,22,20,20
full_tiny,78,5,27,25,25
prefix1,78,1,14,13,13
prefix2,78,2,19,18,18
prefix3,78,3,22,20,20
prefix5,78,5,27,25,25
prefix1,79,1,14,13,13
prefix2,79,2,19,18,18
prefix3,79,3,22,20,20
prefix5,79,5,25,24,24
prefix10,79,10,40,39,39
full_tiny,80,4,24,23,23
prefix1,80,1,15,13,13
prefix2,80,2,19,18,18
prefix3,80,3,22,21,21
prefix1,81,1,16,14,14
prefix2,81,2,21,19,19
prefix3,81,3,23,22,22
prefix5,81,5,28,27,27
prefix10,81,10,40,40,40
prefix1,82,1,15,13,13
prefix2,82,2,19,18,18
prefix3,82,3,22,21,21
prefix5,82,5,28,27,27
prefix10,82,10,40,39,39
prefix1,83,1,14,13,13
prefix2,83,2,18,17,17
prefix3,83,3,21,19,19
prefix5,83,5,26,24,24
prefix10,83,10,37,35,35
prefix1,84,1,15,13,13
prefix2,84,2,19,18,18
prefix3,84,3,21,19,19
prefix5,84,5,26,24,24
prefix10,84,10,34,33,33
full_tiny,85,5,28,26,26
prefix1,85,1,15,13,13
prefix2,85,2,19,18,18
prefix3,85,3,21,19,19
prefix5,85,5,28,26,26
prefix1,86,1,14,13,13
prefix2,86,2,18,17,17
prefix3,86,3,21,19,19
prefix5,86,5,25,24,24
prefix10,86,10,33,32,32
prefix1,87,1,16,14,14
prefix2,87,2,21,19,19
prefix3,87,3,22,21,21
prefix5,87,5,25,24,24
prefix10,87,10,40,39,39
prefix1,88,1,15,13,13
prefix2,88,2,18,17,17
prefix3,88,3,19,18,18
prefix5,88,5,23,22,22
prefix10,88,10,30,29,29
prefix1,89,1,15,13,13
prefix2,89,2,19,18,18
prefix3,89,3,22,21,21
prefix5,89,5,27,26,26
prefix10,89,10,40,39,39
prefix1,90,1,16,14,14
prefix2,90,2,21,19,19
prefix3,90,3,22,20,20
prefix5,90,5,26,24,24
prefix10,90,10,34,33,33
prefix1,91,1,16,14,14
prefix2,91,2,21,19,19
prefix3,91,3,22,20,20
prefix5,91,5,27,25,25
prefix10,91,10,37,35,35
prefix1,92,1,16,14,14
